"DATE_TIME","AIRTEMP","RH_AVG","DEWPT","WS","GHI","DNI","DIFF","POA"
"2023-06-01 00:00:00",15.38,83.7,12.66,0.053,0,0,0,0
"2023-06-01 00:10:00",15.26,83.4,12.48,0.11,0,0,0,0
"2023-06-01 00:20:00",15.08,83.8,12.38,0,0,0,0,0
"2023-06-01 00:30:00",15.03,85,12.54,0.008,0,0,0,0
"2023-06-01 00:40:00",14.96,84.9,12.45,0,0,0,0,0
"2023-06-01 00:50:00",14.95,85.5,12.55,0.007,0,0,0,0
"2023-06-01 01:00:00",14.91,85.8,12.58,0.315,0,0,0,0
"2023-06-01 01:10:00",14.81,86.3,12.57,0.046,0,0,0,0
"2023-06-01 01:20:00",14.56,86.5,12.35,0.001,0,0,0,0
"2023-06-01 01:30:00",14.41,87.3,12.34,0,0,0,0,0
"2023-06-01 01:40:00",14.3,87.5,12.27,0.26,0,0,0,0
"2023-06-01 01:50:00",14.33,88.3,12.45,0.295,0,0,0,0
"2023-06-01 02:00:00",14.31,88.2,12.39,0.322,0,0,0,0
"2023-06-01 02:10:00",14.3,88.7,12.47,0.544,0,0,0,0
"2023-06-01 02:20:00",14.16,88.3,12.27,0.168,0,0,0,0
"2023-06-01 02:30:00",13.98,88.5,12.13,0.004,0,0,0,0
"2023-06-01 02:40:00",13.7,88.5,11.84,0.074,0,0,0,0
"2023-06-01 02:50:00",13.47,88.7,11.66,0,0,0,0,0
"2023-06-01 03:00:00",13.38,90.2,11.82,0.083,0,0,0,0
"2023-06-01 03:10:00",13.55,90.9,12.11,0.082,0,0,0,0
"2023-06-01 03:20:00",13.4,90.6,11.91,0,0,0,0,0
"2023-06-01 03:30:00",13.19,90.8,11.73,0,0,0,0,0
"2023-06-01 03:40:00",13.09,91.1,11.68,0.092,0,0,0,0
"2023-06-01 03:50:00",13.07,91,11.65,0,0,0,0,0
"2023-06-01 04:00:00",12.94,91.7,11.63,0.063,0,0,0,0
"2023-06-01 04:10:00",13.3,91.7,11.99,0.347,0,0,0,0
"2023-06-01 04:20:00",13.39,90.7,11.91,0.358,0,0,0,0
"2023-06-01 04:30:00",13.35,91.5,12.01,0.073,0,0,0,0
"2023-06-01 04:40:00",13.11,91.7,11.81,0.217,0,0,0,0
"2023-06-01 04:50:00",12.89,91.9,11.61,0.292,0,0,0,0
"2023-06-01 05:00:00",12.89,92.4,11.7,0.076,0,0,0,0
"2023-06-01 05:10:00",12.68,92.4,11.48,0.237,0,0,0,0
"2023-06-01 05:20:00",12.38,92.2,11.16,0.218,0,0,0,1
"2023-06-01 05:30:00",12.27,92.5,11.1,0.05,1.8,0,1.8,3
"2023-06-01 05:40:00",12.34,92.7,11.2,0.061,5,0,5,7
